,x,y,theta,v
135,3.354248,0.737738,0.057218,2.521013
136,3.14438,0.607763,-0.240533,0.312627
137,3.059386,0.593015,0.283682,-1.175398
138,3.054914,0.597758,0.20958,-1.213214
139,2.936916,0.585854,-0.124326,0.023712
140,-1.262031,-0.188411,-0.225617,-3.554714
141,-1.634316,-0.157788,0.05662,-3.940968
142,3.059334,0.690725,0.248899,3.460823
143,3.769762,0.706334,-0.199846,3.705128
144,3.14438,0.607763,-0.240533,0.312627
145,3.149918,0.608631,-0.544865,-0.264596
146,-4.357702,-0.331386,-0.084538,-3.529577
147,-4.703017,-0.331979,0.089177,-3.385429
148,-4.703017,-0.331979,0.089177,-3.385429
149,-5.055142,-0.312431,-0.195971,-3.691848
150,-1.226822,-0.545326,0.623082,-0.288404
151,-1.289248,-0.590961,0.636602,-1.258158
152,3.054914,0.597758,0.20958,-1.213214
153,2.948806,0.580399,0.110523,-0.938025
154,3.054914,0.597758,0.20958,-1.213214
155,2.898944,0.551284,0.357057,-2.044603
156,3.769762,0.706334,-0.199846,3.705128
157,4.138434,0.645765,-0.126036,3.768842
158,4.138434,0.645765,-0.126036,3.768842
159,4.955468,0.436483,-0.366769,4.685598
160,-1.262031,-0.188411,-0.225617,-3.554714
161,-1.623517,-0.11088,-0.197301,-3.839663
162,-1.226822,-0.545326,0.623082,-0.288404
163,-1.284108,-0.618192,1.12193,-0.64768
164,-2.227272,-0.550056,0.236854,-5.610195
165,-2.74305,-0.611093,-0.007592,-4.803206
166,-1.284108,-0.618192,1.12193,-0.64768
167,-1.329647,-0.762888,1.396237,-0.873983
168,4.955468,0.436483,-0.366769,4.685598
169,5.716537,0.378117,0.257269,3.07088
170,-5.055142,-0.312431,-0.195971,-3.691848
171,-5.59363,-0.16671,-0.349045,-1.891975
172,3.769762,0.706334,-0.199846,3.705128
173,4.57005,0.795019,0.401723,4.469078
174,-1.163226,-0.695306,1.31392,-3.004474
175,-1.234353,-0.975401,1.330532,-2.775298
176,3.769762,0.706334,-0.199846,3.705128
177,4.310202,0.640121,-0.022755,1.746494
178,-1.226822,-0.545326,0.623082,-0.288404
179,-1.248355,-0.561029,0.637514,-0.244601
180,-2.227272,-0.550056,0.236854,-5.610195
181,-2.744487,-0.67336,0.231102,-5.02403
182,-5.59363,-0.16671,-0.349045,-1.891975
183,-5.934314,0.032052,-0.701856,-2.072803
184,5.716537,0.378117,0.257269,3.07088
